Fecha,Fecha_scrap,Strike,Vol_call,Vol_put
2024-07-19,2024-05-03,9500.0,,0.1984097758107708
2024-07-19,2024-05-03,9600.0,,0.1937224658962799
2024-07-19,2024-05-03,9700.0,,0.1891595748623188
2024-07-19,2024-05-03,9800.0,,0.1850579254473216
2024-07-19,2024-05-03,9900.0,0.111566984148018,0.1795628684417714
2024-07-19,2024-05-03,10000.0,,0.1787270602974254
2024-07-19,2024-05-03,10050.0,0.1274059268615385,0.1740840155810781
2024-07-19,2024-05-03,10100.0,0.1308058024169704,0.1725056763559625
2024-07-19,2024-05-03,10150.0,0.1346443736265033,0.1696876897309941
2024-07-19,2024-05-03,10200.0,0.1360923502179747,0.1672386499698744
2024-07-19,2024-05-03,10250.0,0.1324292659116383,0.1692670393465307
2024-07-19,2024-05-03,10300.0,0.1331031599146512,0.1644828427929035
2024-07-19,2024-05-03,10350.0,0.1350404751772057,0.162006157828696
2024-07-19,2024-05-03,10400.0,0.1339583766438819,0.1600026338242857
2024-07-19,2024-05-03,10450.0,0.1347539055876929,0.1580897060088628
2024-07-19,2024-05-03,10500.0,0.1328940551865856,0.1576667979424358
2024-07-19,2024-05-03,10550.0,0.1327353419637356,0.1554940143953333
2024-07-19,2024-05-03,10600.0,0.1345964974854723,0.1538668392248403
2024-07-19,2024-05-03,10650.0,0.1312634577175258,0.1521837175016434
2024-07-19,2024-05-03,10700.0,0.1294405182353512,0.1499000555575035
2024-07-19,2024-05-03,10750.0,0.128978733888796,0.1495812982960282
2024-07-19,2024-05-03,10800.0,0.1236875390237086,
2024-07-19,2024-05-03,10850.0,0.1272701702928958,0.1459383152419314
2024-07-19,2024-05-03,10900.0,0.1285167377772932,0.1446281545765097
2024-07-19,2024-05-03,10950.0,0.1259631340486092,0.1446390705163897
2024-07-19,2024-05-03,11000.0,0.1261435547078539,0.1439617197622529
2024-07-19,2024-05-03,11050.0,0.1250222440589147,0.1425825402569154
2024-07-19,2024-05-03,11100.0,,0.1462034104837702
2024-07-19,2024-05-03,11150.0,0.124007104281867,0.141840173625307
2024-07-19,2024-05-03,11200.0,0.1230894198701951,0.143133985543649
2024-07-19,2024-05-03,11250.0,0.1233611334027274,0.1421302886659584
2024-07-19,2024-05-03,11300.0,0.1216201362809426,0.1409575754423427
2024-07-19,2024-05-03,11350.0,0.1218343536705879,0.1414454628740703
2024-07-19,2024-05-03,11400.0,0.1205697128978701,0.1432012300768262
2024-07-19,2024-05-03,11450.0,0.1205716968940695,0.1431231790946177
2024-07-19,2024-05-03,11500.0,0.120576088394051,0.1451585881143879
2024-07-19,2024-05-03,11550.0,0.1197725572225277,0.1452946169887998
2024-07-19,2024-05-03,11600.0,0.1199376586118036,0.1486347074708494
2024-07-19,2024-05-03,11650.0,0.1193264577430538,0.1460625004848224
2024-07-19,2024-05-03,11700.0,0.1212691137841586,0.1477176475116559
2024-07-19,2024-05-03,11750.0,0.1202806988096772,0.1498697943713619
2024-07-19,2024-05-03,11800.0,0.1211086307488459,0.156361783936976
2024-07-19,2024-05-03,11900.0,0.1226041828881427,0.1573706776790231
2024-07-19,2024-05-03,12000.0,0.1246957118907675,0.1621284665591253
